HOUR,   LON,    LAT,    WSFRCST
0,    -98.9266,    19.6644,    18.26
1,    -98.9266,    19.6644,    15.14
2,    -98.9266,    19.6644,    13.95
3,    -98.9266,    19.6644,    13.30
4,    -98.9266,    19.6644,    12.34
5,    -98.9266,    19.6644,    11.39
6,    -98.9266,    19.6644,    10.80
7,    -98.9266,    19.6644,    10.84
8,    -98.9266,    19.6644,    11.01
9,    -98.9266,    19.6644,    10.96
10,    -98.9266,    19.6644,    10.73
11,    -98.9266,    19.6644,    10.64
12,    -98.9266,    19.6644,    10.18
13,    -98.9266,    19.6644,    9.23
14,    -98.9266,    19.6644,    10.23
15,    -98.9266,    19.6644,    12.63
16,    -98.9266,    19.6644,    15.26
17,    -98.9266,    19.6644,    17.39
18,    -98.9266,    19.6644,    19.34
19,    -98.9266,    19.6644,    20.85
20,    -98.9266,    19.6644,    21.72
21,    -98.9266,    19.6644,    22.01
22,    -98.9266,    19.6644,    21.71
23,    -98.9266,    19.6644,    20.55
24,    -98.9266,    19.6644,    17.71
25,    -98.9266,    19.6644,    15.79
26,    -98.9266,    19.6644,    15.38
27,    -98.9266,    19.6644,    14.69
28,    -98.9266,    19.6644,    14.01
29,    -98.9266,    19.6644,    13.40
30,    -98.9266,    19.6644,    12.79
31,    -98.9266,    19.6644,    12.20
32,    -98.9266,    19.6644,    11.80
33,    -98.9266,    19.6644,    11.41
34,    -98.9266,    19.6644,    11.07
35,    -98.9266,    19.6644,    10.85
36,    -98.9266,    19.6644,    10.63
37,    -98.9266,    19.6644,    10.47
38,    -98.9266,    19.6644,    11.38
39,    -98.9266,    19.6644,    13.87
40,    -98.9266,    19.6644,    16.05
41,    -98.9266,    19.6644,    17.68
42,    -98.9266,    19.6644,    19.20
43,    -98.9266,    19.6644,    20.32
44,    -98.9266,    19.6644,    20.94
45,    -98.9266,    19.6644,    21.01
46,    -98.9266,    19.6644,    20.41
47,    -98.9266,    19.6644,    17.85
48,    -98.9266,    19.6644,    15.07
