HOUR,   LON,    LAT,    TEMPFRCST
0,    -98.9266,    19.662,    19.91
1,    -98.9266,    19.662,    18.39
2,    -98.9266,    19.662,    16.34
3,    -98.9266,    19.662,    15.32
4,    -98.9266,    19.662,    14.44
5,    -98.9266,    19.662,    13.70
6,    -98.9266,    19.662,    12.93
7,    -98.9266,    19.662,    12.05
8,    -98.9266,    19.662,    11.40
9,    -98.9266,    19.662,    11.34
10,    -98.9266,    19.662,    10.82
11,    -98.9266,    19.662,    10.33
12,    -98.9266,    19.662,    10.09
13,    -98.9266,    19.662,    10.83
14,    -98.9266,    19.662,    13.52
15,    -98.9266,    19.662,    16.29
16,    -98.9266,    19.662,    18.86
17,    -98.9266,    19.662,    20.83
18,    -98.9266,    19.662,    22.25
19,    -98.9266,    19.662,    22.58
20,    -98.9266,    19.662,    24.02
21,    -98.9266,    19.662,    23.94
22,    -98.9266,    19.662,    23.25
23,    -98.9266,    19.662,    18.93
24,    -98.9266,    19.662,    18.00
25,    -98.9266,    19.662,    16.91
26,    -98.9266,    19.662,    16.01
27,    -98.9266,    19.662,    16.13
28,    -98.9266,    19.662,    15.43
29,    -98.9266,    19.662,    15.40
30,    -98.9266,    19.662,    14.52
31,    -98.9266,    19.662,    14.25
32,    -98.9266,    19.662,    13.88
33,    -98.9266,    19.662,    13.64
34,    -98.9266,    19.662,    13.31
35,    -98.9266,    19.662,    12.60
36,    -98.9266,    19.662,    12.19
37,    -98.9266,    19.662,    13.23
38,    -98.9266,    19.662,    15.43
39,    -98.9266,    19.662,    17.63
40,    -98.9266,    19.662,    19.58
41,    -98.9266,    19.662,    21.11
42,    -98.9266,    19.662,    22.74
43,    -98.9266,    19.662,    23.97
44,    -98.9266,    19.662,    24.61
45,    -98.9266,    19.662,    23.29
46,    -98.9266,    19.662,    23.02
47,    -98.9266,    19.662,    21.61
48,    -98.9266,    19.662,    19.75
